wallsMaterial;floorNumber;floorsTotal;totalArea;kitchenArea;latitude;longitude;price
4;1;12;17;4;55,737856;37,710153;750000
5;1;4;21;4;55,53561;37,159935;1000000
3;1;16;27;3;55,738753;37,707332;1100000
2;1;3;17;2;55,626147;37,463996;1250000
2;2;3;20;5;55,399229;37,44135;1400000
2;3;3;24;4;55,626147;37,463996;1450000
3;1;9;11,4;2;55,724069;37,807368;1950000
3;7;12;64;8;55,653431;37,717815;1950000
4;1;9;12,3;2;55,724069;37,807368;2100000
3;7;9;10,6;1,5;55,863833;37,539024;2196000
3;5;9;11,2;1,5;55,863833;37,539024;2285000
3;1;9;13;2;55,624083;37,604825;2399000
5;3;3;35;11;55,486193;36,918809;2450000
3;7;9;12,4;1,5;55,863833;37,539024;2451000
3;1;12;15;3;55,616437;37,736994;2500000
3;1;9;16;5;55,606527;37,740165;2500000
2;2;3;25;5;55,621292;37,429905;2500000
3;1;14;14;2;55,667213;37,744702;2550000
1;2;5;23;6;55,582881;37,4643;2550000
3;1;9;16;2;55,603863;37,58641;2550000
3;1;9;16;2;55,603863;37,58641;2600000
3;1;9;16,8;2;55,816773;37,815866;2600000
3;14;16;18,6;2;55,867041;37,709596;2641200
2;2;5;12;2;55,749927;37,714204;2650000
5;4;4;41;12;55,214907;37,067246;2650000
3;14;16;14,8;2,1;55,867041;37,709596;2664000
3;14;16;18,8;2;55,867041;37,709596;2669600
3;14;16;14,9;2;55,867041;37,709596;2682000
3;13;16;18,9;2;55,867041;37,709596;2683800
3;13;16;19;2;55,867041;37,709596;2698000
3;2;25;16,5;3;55,702074;37,934678;2700000
5;3;5;56;31;55,337013;37,325233;2700000
3;2;17;19;2,5;55,700689;37,922389;2750000
3;1;5;29,4;7,5;55,318742;37,161192;2750000
4;2;3;35,5;11;55,496537;36,921665;2750000
3;2;5;17;3;55,722984;37,79172;2750000
4;1;3;20;5;55,647209;37,327614;2750000
4;1;9;16,6;2;55,721838;37,814744;2750000
4;1;9;16,6;2;55,721838;37,814744;2800000
2;1;5;45;6;55,796764;37,583023;2800000
3;1;9;14;3;55,721838;37,814744;2800000
5;4;4;43;10;55,537021;37,157806;2800000
2;3;5;45,6;10;55,351001;37,339023;2800000
3;2;5;33,9;9;55,801035;37,810414;2800000
3;1;17;13;2;55,612492;37,724427;2800000
5;1;3;35;11;55,498872;36,922142;2800000
3;4;9;15,5;2;55,863833;37,539024;2809000
2;2;8;11,5;2;55,739058;37,519791;2850000
2;1;3;36;11,1;55,498872;36,922142;2850000
5;3;3;35;8,3;55,495012;36,915629;2850000
5;3;3;35;11;55,486976;36,914997;2850000
2;3;4;42;12;55,215667;37,067417;2850000
2;2;4;42,7;11,5;55,214907;37,067246;2850000
2;2;4;40;8;55,215559;37,068226;2850000
1;1;3;36;11;55,499642;36,915898;2860000
5;1;3;36;11;55,499642;36,915898;2860000
1;1;3;35,4;11;55,499642;36,915898;2860000
3;10;12;39;9;55,58351;37,674849;2900000
3;1;17;18;3;55,847255;37,416808;2900000
5;3;3;35;10,5;55,498872;36,922142;2900000
1;1;3;35;10,8;55,498872;36,922142;2900000
4;1;3;38;10,8;55,493472;36,918863;2900000
3;1;17;15;2;55,639329;37,35831;2900000
3;3;3;34,7;11;55,495425;36,917488;2900000
1;2;3;37;12;55,497556;36,922321;2900000
2;1;5;14,9;2;55,801384;37,544324;2940000
5;3;3;35,5;11;55,498872;36,922142;2950000
5;3;3;35;8,5;55,495537;36,915341;2950000
5;1;3;35;10,5;55,497409;36,912557;2950000
3;1;12;11,7;3;55,858544;37,589159;2950000
5;1;3;36;8;55,499479;36,921046;2950000
2;4;4;60;8,3;55,215559;37,068226;2950000
3;14;16;18,7;2;55,867041;37,709596;2954600
3;10;16;18,5;2;55,867041;37,709596;2960000
2;1;5;11,9;1,5;55,735976;37,657817;2990000
3;1;17;20;4;55,715347;37,880141;2999999
3;1;12;14;4;55,63721;37,606775;3000000
3;1;9;15;2;55,855219;37,442266;3000000
2;1;3;36;11;55,499642;36,915898;3000000
2;1;3;36,6;12,4;55,497847;36,916545;3000000
5;2;3;35,6;10,2;55,496537;36,921665;3000000
2;4;4;60,3;9;55,214907;37,067246;3000000
3;2;17;22;3;55,703048;37,918409;3050000
3;1;9;15,5;2;55,609314;37,71345;3050000
3;5;5;29;5,6;55,429389;36,870947;3070000
2;1;15;13;2;55,633333;37,664177;3085000
4;1;10;20,6;3;55,578294;37,655841;3100000
5;3;3;59,4;10;55,535901;37,157877;3100000
3;2;17;20;5;55,699548;37,936699;3100000
4;1;10;20,6;3;55,578294;37,655841;3100000
3;4;5;31;7,5;55,347941;37,392372;3100000
2;1;3;35,8;11;55,498632;36,918288;3100000
3;1;17;15;3;55,672448;37,761599;3100000
4;1;10;19,7;5;55,578294;37,655841;3100000
3;1;12;15;3;55,612492;37,724427;3100000
3;3;9;29;6;55,432378;36,867856;3100000
5;4;4;61;8;55,214907;37,067246;3100000
5;3;13;22,46;4;55,530831;37,44691;3100001
5;2;3;35,2;10,1;55,499642;36,915898;3130000
3;1;9;20,3;2,5;55,721087;37,813809;3150000
5;2;3;35;11;55,499249;36,921701;3150000
3;3;17;21;5;55,706507;37,917376;3180000
1;2;7;25,2;18,5;55,586939;37,124802;3199000
3;1;5;47;5,6;55,360085;37,404663;3199000
3;1;12;15;3;55,63721;37,606775;3200000
1;3;3;34,1;8,1;55,499938;36,918351;3200000
3;2;25;22;4;55,704017;37,940921;3200000
2;10;10;23;4;55,738074;37,564446;3200000
5;5;7;29;6;55,518718;37,3955;3200000
3;2;3;52;10,2;55,497556;36,917982;3200000
5;5;7;29;6;55,518759;37,395401;3200000
3;3;3;35;10,5;55,495425;36,917488;3200000
3;1;9;20,6;2;55,724069;37,807368;3250000
3;2;19;21,3;4;55,698619;37,933672;3250000
3;2;10;13;3;55,578294;37,655841;3250000
3;2;17;22;2;55,703261;37,947838;3250000
5;2;3;32,4;8;55,497521;36,919941;3250000
1;4;4;57;9;55,215667;37,067417;3250000
3;2;17;24;2;55,703261;37,947838;3300000
3;2;17;19;4;55,699548;37,936699;3300000
2;1;5;15,56;2;55,705818;37,745097;3300000
3;5;5;37,3;9;55,594799;37,105092;3300000
3;1;5;31;8;55,315396;37,181791;3300000
1;1;3;52,2;10,2;55,499479;36,921046;3300000
2;1;3;54,7;9;55,214907;37,067246;3300000
5;8;17;20;5;55,968;37,150583;3350000
3;2;19;23;8;55,698619;37,933672;3350000
3;1;5;31,6;6;55,411327;37,09345;3350000
5;4;4;35;10;55,535427;37,159387;3350000
5;9;20;19,5;5,1;55,968;37,150583;3350000
3;1;9;16;2;55,718273;37,827832;3380000
5;3;13;22,46;4;55,475648;37,533921;3390000
4;1;14;34;3;55,610641;37,58932;3400000
3;1;16;19;2;55,881869;37,490937;3400000
3;2;17;23;2;55,699548;37,936699;3400000
3;1;9;28,8;6;55,431085;36,86871;3400000
3;3;5;37;7,2;55,213829;37,072493;3400000
2;4;4;29,5;5,6;55,83802;37,436229;3400000
1;1;4;15,8;6;55,629384;37,465506;3400000
5;9;12;27;5;55,549124;37,313412;3450000
3;1;5;35;9;55,317778;37,16157;3450000
4;3;3;51,1;11;55,495425;36,917488;3450000
4;3;3;52;9,5;55,495425;36,917488;3450000
3;2;3;52;11;55,494629;36,91977;3450000
3;4;5;53,4;9;55,359891;37,403836;3469000
3;1;12;13,9;3;55,858544;37,589159;3475000
5;9;20;19,5;5,1;55,968;37,150583;3500000
2;1;2;39;6,2;55,426876;37,266663;3500000
2;3;5;16;3;55,708166;37,68226;3500000
5;2;14;17,5;2,5;55,598858;37,725271;3500000
1;3;5;28,5;7;55,548492;37,323706;3500000
5;1;3;30,2;6;55,589478;37,113411;3500000
2;2;5;31;7;55,485749;37,500791;3500000
3;3;3;32;8;55,416172;37,409909;3500000
3;3;5;35;8;55,317778;37,16157;3500000
3;6;9;49;7;55,359891;37,403836;3500000
3;13;16;20;2;55,867041;37,709596;3500000
6;1;12;18,7;4;55,781388;37,724957;3500000
1;3;7;24,5;8;55,585347;37,12579;3500000
2;7;12;27,7;6;55,549124;37,313412;3500000
5;3;3;33;8;55,53638;37,158138;3500000
4;1;3;37;9;55,495537;36,915341;3500000
2;1;1;45;10;55,524289;37,22252;3500000
1;3;3;52,6;10;55,42564;36,931877;3500000
5;1;3;53;10,2;55,498632;36,918288;3500000
3;2;3;53;10,4;55,494629;36,91977;3500000
1;2;4;60;9;55,214907;37,067246;3500000
2;3;4;60;8;55,215667;37,067417;3500000
2;3;3;33,4;8,2;55,495104;36,916599;3530000
2;3;4;29,5;5,8;55,83802;37,436229;3540000
4;2;3;33;10;55,632784;37,450935;3550000
5;1;3;35,7;10,8;55,499938;36,918351;3550000
5;3;3;53;8;55,499938;36,918351;3550000
1;3;3;34;8;55,495104;36,916599;3550000
5;3;3;33;6;55,53638;37,158138;3550000
5;2;3;35,6;11,4;55,498627;36,917479;3550000
5;2;3;51,2;10,2;55,499999;36,926211;3550000
5;2;3;52,4;11;55,499408;36,915243;3550000
5;3;3;52,2;10,3;55,499938;36,918351;3550000
3;1;9;18;3;55,634761;37,606307;3600000
4;1;24;18;5;55,576874;37,481585;3600000
2;1;3;25;6;55,647209;37,327614;3600000
1;4;7;30;8;55,585347;37,12579;3600000
3;1;5;35;9;55,409988;37,187854;3600000
5;4;4;41;8;55,53638;37,158138;3600000
2;2;3;52;10,2;55,496542;36,917533;3600000
2;2;5;17,05;2;55,702774;37,745439;3650000
3;1;12;16;3;55,675214;37,768274;3650000
2;2;5;44;7;55,824162;37,451914;3650000
5;6;20;19;3;55,968;37,150583;3650000
1;6;20;19,8;2,5;55,968;37,150583;3650000
5;14;20;20;3;55,968;37,150583;3650000
1;14;20;20;3;55,968;37,150583;3650000
4;1;9;21,5;3;55,721838;37,814744;3650000
3;1;9;22;4;55,682645;37,656532;3650000
5;3;3;52;11;55,496547;36,918342;3650000
3;1;17;18;3;55,672448;37,761599;3650000
3;1;9;23,3;4;55,532564;37,526384;3650000
5;6;20;19,5;3;55,968;37,150583;3650000
5;2;17;22;3;55,968;37,150583;3650000
5;14;20;20;3;55,968;37,150583;3650000
1;10;12;28;6;55,548706;37,311112;3650000
3;5;5;32;6;55,465534;36,942776;3650000
5;1;3;35;11;55,499249;36,921701;3650000
3;1;9;36;7;55,682645;37,656532;3690000
3;4;5;33;9;55,373542;37,379618;3690000
3;5;5;31;6;55,465718;36,94583;3690000
3;4;5;33;9;55,373542;37,379618;3690000
5;6;14;20;5;55,553422;37,464284;3700000
3;1;5;30;5,4;55,465876;36,938446;3700000
1;1;3;35,1;9;55,494629;36,91977;3700000
2;3;3;35;10;55,495425;36,917488;3700000
1;2;3;58;10;55,496965;36,919941;3700000
3;1;12;30;5;55,818882;37,827706;3700000
2;1;5;20,42;2;55,705818;37,745097;3700000
3;1;12;18;3;55,612492;37,724427;3700000
2;1;2;30;4;55,449107;37,246469;3700000
3;3;3;34,8;10,8;55,495425;36,917488;3700000
5;3;3;35;10,5;55,499479;36,921046;3700000
2;2;3;35,7;12,8;55,49776;36,914686;3700000
4;3;3;52;11,8;55,499724;36,919303;3700000
1;1;3;63,4;10,7;55,496547;36,918342;3700000
3;4;5;32;6;55,446978;37,516494;3720000
5;2;3;62;11;55,499249;36,921701;3720000
5;2;3;62;11;55,499249;36,921701;3730000
5;2;3;56;10;55,500611;36,917803;3740000
3;1;17;25,9;6;55,643551;37,743489;3750000
4;1;3;36,6;11,9;55,496016;36,919905;3750000
5;4;18;20,1;6;55,966519;37,155668;3750000
5;2;3;56;9,6;55,500611;36,917803;3750000
3;1;14;23,2;5;55,649164;37,734021;3750000
5;15;16;23;3;55,430998;36,865036;3750000
5;2;3;35;11;55,497822;36,919878;3750000
3;1;17;23,3;3;55,639425;37,65911;3790000
5;2;3;62;11;55,499938;36,918351;3790000
2;3;5;31,5;5,5;55,600048;37,160959;3800000
5;4;4;43;10;55,534627;37,160761;3800000
2;4;9;50;12;55,420352;37,411777;3800000
5;4;16;22,5;6;55,966519;37,155668;3800000
4;6;12;29;6;55,548951;37,312334;3800000
3;2;5;31;5,5;55,44682;37,515694;3800000
3;4;5;35;9;55,373542;37,379618;3800000
2;4;4;73;8;55,215559;37,068226;3800000
3;1;14;23,5;5;55,649164;37,734021;3800000
1;2;15;16,4;3;55,553422;37,464284;3800000
5;5;12;38;9;55,551023;37,314651;3800000
3;1;5;33,6;8,3;55,359891;37,403836;3800000
1;1;3;63,1;10,8;55,496542;36,917533;3800000
4;2;3;52;11,7;55,499826;36,920552;3825000
2;2;3;27,4;10,9;55,883449;37,538916;3836000
3;1;4;30,2;11;55,558152;37,363107;3850000
2;3;3;52;11,8;55,499724;36,919303;3850000
2;2;3;54;10;55,496965;36,919941;3850000
3;1;3;53,4;9;55,49799;36,921135;3850000
5;1;3;36,6;8,8;55,495838;36,914371;3850000
2;2;2;33;6;55,522984;37,220589;3890000
5;1;17;30;7;55,630583;37,59833;3890000
5;5;7;40;7;55,888952;37,639779;3900000
3;5;5;47,6;9,3;55,347674;37,390676;3900000
2;4;9;13,6;5;55,736995;37,690489;3900000
2;1;5;16,8;2;55,78814;37,57749;3900000
3;1;14;17,8;3,7;55,826503;37,597522;3900000
3;1;9;22;3;55,721838;37,814744;3900000
4;6;9;35,5;5,5;55,827383;37,762767;3900000
3;1;16;25;4,9;55,660602;37,469287;3900000
2;5;5;30;6;55,475582;37,543003;3900000
5;6;17;43;10;55,430998;36,865036;3900000
4;11;12;34,5;7;56,009391;37,206207;3900000
3;5;5;47,6;9,3;55,347674;37,390676;3900000
3;3;5;47,5;6;55,360085;37,404663;3900000
3;1;5;48;6;55,360085;37,404663;3900000
5;3;5;99,3;20;55,337015;37,325234;3900000
5;9;24;38,7;10,7;55,868339;37,557861;3950000
2;1;15;19;2;55,633333;37,664177;3950000
5;9;16;25,9;7,9;55,430998;36,865036;3950000
3;1;12;15,8;4;55,858544;37,589159;3950000
5;10;18;24,5;3;55,966519;37,155668;3950000
5;3;13;22,46;4;55,47198;37,544234;3950000
2;5;5;39,2;6;55,485413;37,495096;3950000
3;2;5;45;6;55,326235;37,344458;3950000
2;1;9;21,3;1,2;55,79602;37,564671;3990000
4;6;14;22;4;55,712761;37,748286;3990000
3;5;5;31;6;55,411281;37,182806;3990000
3;2;4;45;6;55,444849;37,327947;3990000
4;2;3;53,8;9,6;55,497745;36,913958;3990000
4;5;5;54;9;55,212293;37,072178;3990000
6;4;7;15,3;3;55,736995;37,690489;3999999
2;1;5;90;35;55,337015;37,325234;3999999
2;11;12;28,5;5;55,548706;37,311112;3999999
5;10;18;24,5;3;55,966519;37,155668;4000000
2;5;5;17,5;3;55,845739;37,582565;4000000
2;1;5;21;2;55,680184;37,744738;4000000
5;10;16;27;3;55,966519;37,155668;4000000
5;5;16;30;10;55,564709;37,494117;4000000
2;4;5;33;6,5;55,596157;37,109566;4000000
5;3;4;73;12;55,525074;37,500261;4000000
5;3;3;35;10,8;55,497409;36,912557;4000000
3;4;5;45,1;5,5;55,317768;37,15998;4000000
3;4;5;48;6;55,314377;37,176544;4000000
5;1;3;68;9,5;55,493472;36,918863;4000000
3;5;5;44;7;55,326881;37,345868;4000000
3;2;5;46;15;55,337655;37,325018;4000000
3;4;5;48;9;55,211466;37,071244;4000000
5;1;3;63,1;10,8;55,496542;36,917533;4000000
4;1;3;68;9,4;55,499336;36,919006;4000000
3;12;12;38,6;8,4;55,667538;37,786563;4042000
5;9;17;28,8;5;55,513525;37,574318;4050000
3;4;5;30,5;6;55,446978;37,516494;4100000
2;1;5;20,42;2;55,705818;37,745097;4100000
2;5;5;43;8;55,719394;37,72776;4100000
3;9;9;30;5,5;55,515467;37,569917;4100000
5;1;3;34;10;55,498689;36,915826;4100000
2;2;5;42;6;55,325078;37,34444;4100000
5;15;40;19;3;55,807719;37,757862;4100000
2;2;5;20,1;2;55,702774;37,745439;4100000
3;15;20;23,6;4;55,968;37,150583;4100000
1;3;17;20,5;6;55,968;37,150583;4100000
1;15;17;23,6;6;55,968;37,150583;4100000
3;7;9;27;7;55,985871;37,235106;4100000
3;7;9;35;8;55,985871;37,235106;4100000
3;3;17;27;10;55,516909;37,352039;4100000
3;3;5;34;8;55,484505;37,494288;4100000
3;5;5;33;8;55,431228;37,270778;4100000
2;2;5;40;9;55,424056;37,293909;4100000
3;5;5;44;10;55,317486;37,15839;4100000
5;4;4;50;9;55,535885;37,158416;4100000
4;9;12;28,6;6;55,550392;37,312127;4110000
3;10;17;32,7;10,7;55,552637;37,585844;4120003
3;11;17;19,8;5,1;55,562205;37,471686;4150000
5;19;21;29;5;55,504206;37,539042;4150000
3;9;9;50;12,9;55,303012;37,189615;4150000
3;1;5;30,4;5,5;55,633475;37,667968;4150000
5;17;18;26,5;7;55,991893;37,214382;4150000
1;3;3;66,3;12;55,499938;36,917336;4150000
3;1;5;46,2;6,7;55,465381;36,944051;4170000
2;4;5;31;6;55,604092;37,167552;4180000
5;6;9;33,26;11,2;55,554415;37,312199;4182445
2;1;8;21;5;55,803347;37,509307;4190000
2;2;6;14,7;1,2;55,774907;37,582906;4190000
4;2;3;55;8;55,497556;36,922321;4199000
5;1;16;23,3;4;55,566517;37,492563;4199000
5;1;16;23,3;4;55,566517;37,492563;4199000
3;6;16;25;5;55,52014;37,347871;4200000
3;9;12;30,3;7,5;55,630024;37,680966;4200000
5;4;17;20,1;5;55,968;37,150583;4200000
3;3;9;27;6;55,986989;37,231099;4200000
1;3;7;22;5;55,584594;37,126418;4200000
2;7;16;28;5,5;55,523825;37,514733;4200000
1;2;5;35;9;55,584874;37,464221;4200000
2;2;5;39;10;55,485107;37,500926;4200000
1;7;9;42;10,5;55,419483;37,405839;4200000
3;3;5;45;8,7;55,315371;37,176643;4200000
3;4;5;48;8;55,211466;37,071244;4200000
5;4;15;20,9;5,1;55,669701;37,771041;4200000
5;4;17;20,1;5;55,968;37,150583;4200000
5;13;20;21,5;3;55,968;37,150583;4200000
5;14;15;20,22;2,5;55,553422;37,464284;4200000
5;11;14;20,2;3;55,553422;37,464284;4200000
5;10;12;39,7;10,2;55,548706;37,311112;4200000
3;4;9;42,3;7;55,431085;36,86871;4200000
3;4;5;45,3;7,9;55,42755;36,86738;4200000
3;5;5;50;8;55,374575;37,382555;4200000
3;9;9;50;13;55,314392;37,182896;4200000
2;3;3;71,41;13,4;55,485096;36,920883;4200000
2;5;5;105,6;20;55,350658;37,339095;4200000
2;3;4;30,9;5;55,594997;37,105685;4250000
2;5;6;14,6;2;55,790879;37,818957;4250000
1;8;8;23,5;3;55,554236;37,465838;4250000
5;9;9;52;12;55,542263;37,151419;4250000
1;1;9;53,5;14,4;55,543236;37,151868;4250000
3;3;5;55,1;6;55,31869;37,159611;4250000
2;1;3;74;10;55,496582;36,919267;4250000
5;11;15;23,3;5,1;55,553422;37,464284;4250000
5;3;14;25,3;3,1;55,49929;37,521309;4250000
2;15;19;30;5;55,504206;37,539042;4250000
2;4;9;42;11,4;55,420352;37,411777;4250000
2;15;19;30;5;55,504206;37,539042;4285000
5;4;16;43;12,5;55,566909;37,494359;4286301
4;3;3;56;9,5;55,498153;36,914766;4290000
2;3;5;18;3;55,845739;37,582565;4290000
2;3;5;18;3;55,845739;37,582565;4290000
5;23;24;22,1;3,4;55,576874;37,481585;4290000
1;3;3;41;8;55,647209;37,327614;4299999
3;3;9;26;6,6;55,986989;37,231099;4300000
5;2;3;73,5;8,2;55,497822;36,919878;4300000
3;1;12;25;5;55,765073;37,481217;4300000
2;5;5;13,6;2;55,783524;37,467096;4300000
1;14;19;30;9;55,504206;37,539042;4300000
3;1;1;42;8;55,523096;37,225709;4300000
2;3;3;74;9,6;55,499836;36,925564;4300000
2;4;5;31;6;55,816586;37,867933;4300000
5;6;20;20;5;55,968;37,150583;4300000
1;11;15;23,5;3;55,553799;37,463691;4300000
5;22;24;22,1;5;55,576874;37,481585;4300000
2;2;3;42;16;55,524248;37,482915;4300000
3;3;5;43,9;6;55,4285;36,867362;4300000
1;3;3;47;15;55,499408;36,915243;4300000
3;3;5;45,2;5,7;55,31826;37,158416;4300000
2;1;3;47;5,2;55,407203;37,172798;4300000
1;7;9;48,5;10,7;55,542263;37,151419;4300000
1;4;9;49;10,4;55,544346;37,15105;4300000
5;1;3;73,8;8,2;55,495104;36,916599;4300000
2;3;5;37;11;55,485107;37,500926;4350000
5;1;4;30;8;55,536441;37,157024;4350000
4;3;3;68;13,4;55,498143;36,920057;4350000
2;1;5;14;1;55,758884;37,579026;4350000
3;1;9;26,5;6;55,986893;37,232554;4350000
5;7;17;28;10;55,522898;37,514266;4350000
5;2;3;35;11;55,499249;36,921701;4350000
2;2;4;41;6;55,536033;37,16068;4350000
3;2;9;43;7;55,433568;36,869905;4350000
1;1;6;49;14,6;55,543236;37,151868;4350000
5;2;3;75;8,3;55,500611;36,917803;4350000
5;1;3;75,8;13,8;55,495537;36,915341;4350000
5;9;12;31,81;11,3;55,499739;37,514931;4360000
1;9;12;36,3;10;55,549908;37,311148;4360000
5;4;9;34,18;9,6;55,554094;37,314768;4383585
2;1;7;18,4;3;55,786698;37,595321;4390000
1;2;9;42,6;10;55,544346;37,15105;4390000
5;11;15;23,6;5;55,555;37,467221;4398000
6;4;7;16,6;3;55,736995;37,690489;4399399
3;1;10;41,4;12;55,578294;37,655841;4400000
3;5;9;33;7;55,585652;37,641971;4400000
3;1;5;28,7;6;55,508921;37,566853;4400000
1;6;7;48;10,5;55,544306;37,154464;4400000
5;11;16;20;4;55,867071;37,708832;4400000
5;7;21;41;10;55,878804;37,729988;4400000
2;1;1;42;7,5;55,608256;37,303854;4400000
4;8;12;28;7;56,011032;37,206943;4400000
3;2;5;31,6;7,8;55,500432;37,329608;4400000
1;9;12;38;8,1;55,546022;37,294538;4400000
4;1;3;37;12;55,49851;36,91624;4400000
3;4;5;45;6;55,373951;37,378576;4400000
3;4;5;45;6;55,373951;37,378576;4400000
3;4;5;45;6;55,373951;37,378576;4400000
5;3;3;74;8;55,499826;36,920552;4400000
2;2;9;41;11;55,419483;37,405839;4420000
3;2;5;27,8;5,9;55,501498;37,324973;4450000
5;5;10;36,82;9,2;55,536391;37,386966;4450000
2;2;20;25,5;5,5;55,879909;37,596911;4450000
5;14;20;31,2;9,8;55,968;37,150583;4450000
2;1;5;45;5,7;55,412447;37,187764;4450000
3;1;12;16;4;55,616437;37,736994;4450000
5;1;3;50,2;11;55,580508;37,159207;4450000
3;4;5;44,3;7;55,4285;36,867362;4450000
1;4;9;45,25;10,4;55,544346;37,15105;4460000
3;7;9;33;7;55,600216;37,167418;4480000
2;1;7;20,2;3;55,74603;37,494773;4485000
3;11;16;38;5;55,849221;37,586607;4490000
2;2;8;22,2;1,5;55,753575;37,713081;4490000
3;1;12;16,7;5;55,63721;37,606775;4490000
5;2;9;30;5;55,510961;37,350261;4490000
2;1;3;71;13;55,496307;36,915395;4490000
6;4;7;17,2;3;55,736995;37,690489;4499499
5;12;22;30;5;55,503206;37,53685;4500000
4;2;3;30;7;55,552154;37,327938;4500000
2;1;5;44;8;55,583131;37,464348;4500000
4;3;3;54;9,6;55,498689;36,915826;4500000
2;6;6;19;2;55,790879;37,818957;4500000
3;14;14;38,6;8;55,667538;37,786563;4500000
5;14;24;25;4;55,858963;37,37297;4500000
4;13;14;35,1;10;56,009632;37,207788;4500000
1;12;15;20,2;5;55,553422;37,464284;4500000
5;5;11;23;6;55,578218;37,47775;4500000
1;7;13;28,15;3;55,49929;37,521309;4500000
3;6;9;30,3;6;55,516058;37,568956;4500000
3;2;9;37;7;55,601427;37,334495;4500000
5;3;3;36;19;55,647209;37,327614;4500000
5;12;25;40;11,5;55,492054;37,327174;4500000
1;15;17;40;12;55,533216;37,449327;4500000
5;2;3;31;8;55,536517;37,157653;4500000
4;6;9;31,8;6;55,4775;37,30574;4500000
3;3;9;42;7;55,431085;36,86871;4500000
2;7;9;48;10;55,544708;37,147547;4500000
1;5;9;49;11,9;55,545253;37,150907;4500000
5;8;9;50;12;55,543236;37,151868;4500000
3;3;5;56;6;55,31869;37,159611;4500000
3;3;5;55;6;55,323848;37,123122;4500000
5;2;3;124;15;55,448679;37,247718;4500000
3;1;9;23;6;55,607972;37,740156;4500000
5;11;17;22;5;55,554236;37,465838;4500000
5;12;15;23;5,1;55,553422;37,464284;4500000
5;11;17;23,5;5,5;55,553422;37,464284;4500000
1;19;19;27;5;55,504206;37,539042;4500000
5;4;24;27;7;55,577566;37,48269;4500000
3;2;9;32,6;6;55,55941;37,34709;4500000
3;3;9;33,5;9;55,516354;37,533975;4500000
3;1;9;34;7,5;55,476342;37,543075;4500000
1;10;12;34,4;8;55,548706;37,311112;4500000
1;4;5;35,7;5;55,503864;37,548609;4500000
5;10;16;40;11,5;55,521104;37,355201;4500000
3;1;5;43;6;55,448857;37,512272;4500000
3;1;5;43;6;55,448857;37,512272;4500000
3;5;5;37,1;8,5;55,536685;37,160977;4500000
5;7;16;41;12;55,430436;36,864371;4500000
4;2;9;43,9;7;55,429205;36,865143;4500000
3;9;9;50;14,3;55,542263;37,151419;4500000
3;5;5;53;7;55,374575;37,382555;4500000
1;11;15;25,3;5;55,554236;37,465838;4550000
5;8;15;25;5,5;55,554236;37,465838;4550000
1;1;3;50;14;55,580594;37,158704;4550000
5;5;13;24,5;5;55,554236;37,465838;4550000
1;11;15;25,3;3;55,554236;37,465838;4550000
5;20;24;25,5;7,2;55,578284;37,482663;4550000
5;3;8;36,14;10;55,554415;37,312199;4552921
1;12;14;30,52;5;55,539935;37,451815;4556000
3;16;17;36,9;7;55,707527;37,395931;4560000
2;4;4;39,8;5,9;55,83802;37,436229;4580000
5;3;4;31,8;7,5;55,535529;37,159099;4590000
2;1;9;37;12;55,485428;37,499579;4590000
2;1;4;45,1;4;55,41332;37,190846;4599000
5;10;14;48;10;55,691567;37,806317;4600000
3;16;17;26,5;8;55,518876;37,345131;4600000
5;5;21;29;6;55,504206;37,539042;4600000
2;5;5;43,8;5,4;55,604778;37,169214;4600000
3;5;5;46;6;55,464197;36,943459;4600000
2;1;5;30,5;5,4;55,812676;37,711033;4600000
5;5;24;22,7;4;55,858963;37,37297;4600000
1;6;24;25,5;7,2;55,578284;37,482663;4600000
5;4;15;25,02;5;55,555;37,467221;4600000
5;15;15;25;2,4;55,555;37,467221;4600000
5;15;15;25,1;6;55,555;37,467221;4600000
3;1;5;28,8;5,7;55,514315;37,568435;4600000
5;13;17;40;12;55,533216;37,449327;4600000
1;13;19;42;10;55,592581;37,20689;4600000
3;1;5;36;5,5;55,524992;37,215549;4600000
3;5;5;44;6,8;55,429389;36,870947;4600000
1;3;3;43;12;55,540628;37,144115;4600000
3;1;17;35;6;55,85679;37,502381;4600000
2;5;6;16;4;55,790879;37,818957;4600000
3;14;16;35;9,5;55,630507;37,798637;4600000
3;1;16;23,2;2;55,646406;37,482592;4600000
3;7;17;24;12;55,52014;37,347871;4600000
3;9;17;26;4;55,52014;37,347871;4600000
1;10;17;40;7;55,533216;37,449327;4600000
2;1;9;38;10;55,485428;37,499579;4600000
5;3;4;34;8;55,536278;37,160141;4600000
5;4;15;33;4;55,486265;37,303935;4600000
2;5;5;44;6;55,523983;37,215424;4600000
1;3;9;49,3;12;55,544306;37,154464;4600000
1;6;6;52;12;55,545416;37,154742;4600000
3;6;9;45;7;55,43062;36,865844;4640000
2;4;9;42;12;55,419999;37,41025;4649999
2;1;5;15;3;55,72598;37,671031;4650000
5;2;20;17;5;55,599728;37,724723;4650000
4;1;22;23,2;2,4;55,645573;37,479977;4650000
3;11;15;20,3;5,1;55,616971;37,414697;4650000
3;5;5;37,1;9;55,536685;37,160977;4650000
5;6;24;26,3;4;55,858963;37,37297;4650000
5;9;15;23,2;3,3;55,555;37,467221;4650000
